YEAR,ALL_PAGES,SOURCE_MEDIUM,PAGEVIEWS,UNIQUE_PAGEVIEWS,AVG_TIME_ON_PAGE,ENTRANCES,BOUNCE_RATE,PERCENT_EXIT,OBJECTID
2019,/anc.dc.gov/,(direct) / (none),105155,103049,0:01:35,102277,0.9767,0.9606,169
2019,/dchr.dc.gov/public-employee-salary-information,google / organic,105014,80235,0:05:17,62966,0.1395,0.6023,170
2019,/dc.gov/start,yahoo / organic,103470,44364,0:08:29,43452,0.0994,0.4206,171
2019,/profiles.dcps.dc.gov/,google / organic,102347,62124,0:01:36,18462,0.3904,0.275,172
2019,/dmv.dc.gov/service/dmv-vehicle-titles,google / organic,102136,84657,0:02:29,64792,0.6807,0.5766,173
2019,/dchealth.dc.gov/dociis,search.usa.gov / referral,101855,33203,0:04:50,22884,0.1721,0.2826,174
2019,/dmv.dc.gov/node/1117687,google / organic,101364,71671,0:02:13,5054,0.2667,0.2895,175
2019,/dc.gov/directory,google / organic,99539,76023,0:00:41,10951,0.2551,0.1587,176
2019,/dmv.dc.gov/node/1115502,google / organic,98697,83604,0:03:31,8213,0.7311,0.3634,177
2019,/dmv.dc.gov/node/1118467,google / organic,98486,87184,0:11:16,22674,0.4776,0.6935,178
2019,/dmv.dc.gov/,bing / organic,97082,76304,0:00:52,55455,0.1896,0.295,179
2019,/dc.gov/start,bing / organic,96801,77006,0:06:06,69425,0.1503,0.7186,180
2019,/mpdc.dc.gov/service/file-police-report-online,google / organic,96661,89431,0:06:12,79533,0.3821,0.8388,181
2019,/dchr.dc.gov/service/find-dc-government-job,google / organic,96591,79954,0:01:03,42820,0.3115,0.2827,182
2019,/dmv.dc.gov/node/1119626,google / organic,96240,83815,0:03:36,9336,0.6409,0.5718,183
2019,/crimemap.dc.gov/CrimeMapSearch.aspx,google / organic,95678,53279,0:00:50,11582,0.3273,0.1299,184
2019,/app.ocp.dc.gov/RUI/information/nigplist.asp,google / organic,93993,17619,0:00:54,12846,0.2022,0.171,185
2019,/dmv.dc.gov/node/301372,google / organic,93572,11653,0:01:16,2597,0.4055,0.06,186
2019,/dcps.dc.gov/page/stay-informed-emergencies-delays-and-closures,google / organic,93502,80024,0:00:50,64511,0.268,0.3401,187
2019,/dmv.dc.gov/service/vehicle-registration-renewals,google / organic,93362,71530,0:04:01,49067,0.2855,0.4789,188
2019,/dc.gov/online-services,google / organic,93081,76163,0:00:58,9828,0.4242,0.2459,189
2019,/dmv.dc.gov/service/replace-a-non-driver-id-card,google / organic,91887,74759,0:03:20,70758,0.601,0.6853,190
2019,/dcps.dc.gov/node/1393401,google / organic,91817,81218,0:02:24,4001,0.4211,0.7378,191
2019,/dmv.dc.gov/service/vehicle-title-replacement,google / organic,89080,73145,0:03:09,69565,0.6596,0.7147,192
2019,/dcatlas.dcgis.dc.gov/mar/location_detail.aspx,google / organic,88167,38959,0:02:49,211,0.3318,0.3169,193
2019,/crimemap.dc.gov/Report.aspx,google / organic,87956,34607,0:00:56,211,0,0.1173,194
2019,/dchr.dc.gov/,(direct) / (none),86763,68442,0:01:20,62826,0.2212,0.3705,195
2019,/crimemap.dc.gov/,google / organic,85921,67319,0:00:31,57421,0.1395,0.1887,196
2019,/dmv.dc.gov/service/vehicle-inspections,google / organic,84096,67950,0:02:02,47453,0.4405,0.4583,197
2019,/dmv.dc.gov/service/residential-parking-permits,google / organic,81428,69705,0:01:35,48015,0.436,0.3655,198
2019,/dmv.dc.gov/page/webcam-and-average-wait-time-benning-ridge-service-center,google / organic,81218,7581,0:01:10,2808,0.5,0.0536,199
2018,/dmv.dc.gov/service/pay-tickets,search.usa.gov / referral,126127,88927,0:02:58,44990,0.1106,0.3091,247
2018,/dcra.dc.gov/service/dcra-online-services,google / organic,124793,94753,0:00:55,27233,0.1432,0.7935,248
2018,/does.dc.gov/,google / organic,122266,94121,0:01:39,74609,0.3183,0.2942,249
2018,/dmv.dc.gov/service/ticket-services,google / organic,121494,96087,0:00:41,35515,0.1644,0.0043,250
2018,/dmv.dc.gov/node/1118866,google / organic,121354,86822,0:04:33,2457,0.3076,0.1966,251
2018,/dmv.dc.gov/node/155482,google / organic,120161,80786,0:00:26,2878,0.4752,0.0892,252
2018,/dmv.dc.gov/service/vehicle-registrations-and-tags,google / organic,118266,85769,0:00:34,13546,0.1701,0.3662,253
2018,/crimemap.dc.gov/CrimeMapSearch.aspx,google / organic,118055,61063,0:00:53,8282,0.4068,0.6128,254
2018,/dcatlas.dcgis.dc.gov/mar/,google / organic,117564,62256,0:00:30,31725,0.0848,0.2062,255
2018,/crimemap.dc.gov/Report.aspx,google / organic,115950,44288,0:00:45,140,0.5,0.2439,256
2018,/otr.cfo.dc.gov/,(direct) / (none),115037,102895,0:00:50,91103,0.5723,0.654,257
2018,/profiles.dcps.dc.gov/,google / organic,114476,65766,0:01:42,19021,0.4529,0.4461,258
2018,/dmv.dc.gov/page/customer-wait-time-webcams-benning-ridge-service-center,google / organic,113563,7721,0:01:05,1263,0.1671,0.3823,259
2018,/dmv.dc.gov/service/pay-tickets,bing / organic,113423,78470,0:03:14,50114,0.1488,0.7162,260
2018,/dmv.dc.gov/node/1119647,(direct) / (none),112159,71802,0:02:07,6949,0.5789,0.0941,261
2018,/dmv.dc.gov/book/vehicle-registration-fees/driver-license-fees,google / organic,111809,102684,0:02:32,73907,0.8645,0.4308,262
2018,/does.dc.gov/service/start-your-unemployment-compensation-process,google / organic,110826,92226,0:05:08,65976,0.2282,0.0779,263
2018,/dmv.dc.gov/,bing / organic,109913,82260,0:00:55,61975,0.1638,0.2052,264
2018,/mpdc.dc.gov/newsroom,google / organic,108018,65766,0:00:50,46955,0.2989,0.2321,265
2018,/dchr.dc.gov/external-link/careers-dc,google / organic,107878,81979,0:04:07,1684,0.5651,0.2695,266
2018,/otr.cfo.dc.gov/service/check-your-tax-refund-status,google / organic,107667,97841,0:05:24,93700,0.1048,0.619,267
2018,/app.ocp.dc.gov/RUI/information/nigplist.asp,google / organic,105562,19512,0:01:04,15862,0.2257,0.1742,268
2018,/dmv.dc.gov/node/301372,google / organic,105421,10458,0:01:18,2386,0.2649,0.3208,269
2018,/dchr.dc.gov/node/1317531,google / organic,105141,57905,0:01:44,2106,0.3666,0.43,270
2018,/dmv.dc.gov/service/knowledge-test,google / organic,104439,84014,0:00:49,55518,0.3266,0.4005,271
2018,/dcatlas.dcgis.dc.gov/mar/location_detail.aspx,google / organic,103316,52500,0:02:44,281,0.4982,0.502,272
2018,/dmv.dc.gov/service/contest-parking-and-photo-enforcement-tickets,(direct) / (none),102684,56571,0:01:53,5966,0.5699,0.5457,273
2018,/dmv.dc.gov/service/contest-tickets,(direct) / (none),101842,78891,0:02:42,18951,0.1985,0.2997,274
2018,/dmv.dc.gov/service/ticket-services,(direct) / (none),99175,74328,0:00:26,5615,0.2598,0.7687,275
2018,/dcps.dc.gov/service/search-and-apply-dcps-jobs,google / organic,98824,69626,0:00:27,25969,0.1467,0.2896,276
2018,/dmv.dc.gov/service/vehicle-inspections,google / organic,98333,78399,0:01:57,54816,0.4311,0.1482,277
2018,/cson.oag.dc.gov/LogReg.aspx?timeout=y,google / organic,97701,28917,0:08:02,16985,0.4752,0.0599,278
2018,/sexoffender.dc.gov/,google / organic,97701,85278,0:03:52,81137,0.8529,0.3804,279
2018,/dmv.dc.gov/service/dmv-online-services,search.usa.gov / referral,97350,60080,0:01:27,21688,0.1489,0.6957,280
2018,/does.dc.gov/service/mayor-marion-s-barry-summer-youth-employment-program,google / organic,95736,85418,0:02:16,78470,0.2785,0.2038,281
2018,/dchr.dc.gov/public-employee-salary-information,google / organic,95104,72714,0:04:54,56501,0.158,0.3456,282
2018,/doc.dc.gov/service/online-scheduling-video-visitationscheduling-face-face-visitation,google / organic,94613,83593,0:07:31,73556,0.3011,0.206,283
2018,/crimemap.dc.gov/,google / organic,93560,69626,0:00:21,59519,0.111,0.1524,284
2018,/otr.cfo.dc.gov/service/recorder-deeds-document-images,google / organic,93490,77838,0:05:42,44148,0.0935,0.5125,285
2018,/dpw.dc.gov/service/find-your-trash-and-recycling-collection-schedule,google / organic,93349,67731,0:00:38,53623,0.481,0.3052,286
2018,/dcps.dc.gov/page/dcps-human-resources,google / organic,93279,70328,0:01:02,23021,0.1472,0.093,287
2018,/dcps.dc.gov/,bing / organic,92998,76153,0:02:38,69836,0.476,0.7567,288
2018,/dmv.dc.gov/service/dmv-vehicle-titles,google / organic,92296,72574,0:02:16,55518,0.71,0.821,289
2018,/mpdc.dc.gov/service/file-police-report-online,google / organic,90893,82681,0:04:58,73205,0.3751,0.2934,290
2018,/dmv.dc.gov/node/1117687,google / organic,90752,63028,0:02:43,4281,0.3017,0.5534,291
2018,/cfsa.dc.gov/page/when-child-welfare-investigates-your-family,google / organic,90050,85137,0:09:14,83663,0.8619,0.0833,292
2018,/ddot.dc.gov/,google / organic,89419,68012,0:00:59,45692,0.319,0.9158,293
2018,/dhcd.dc.gov/service/inclusionary-zoning-affordable-housing-program,google / organic,88927,67029,0:02:38,49903,0.3408,0.9758,294
2018,/does.dc.gov/service/marion-s-barry-summer-youth-employment-program-participant-information,google / organic,88717,80084,0:08:10,54185,0.2231,0.7306,295
2018,/dmv.dc.gov/node/1115502,google / organic,87664,75101,0:03:11,8703,0.7049,0.6818,296
2018,/dmv.dc.gov/page/all-DC-DMV-locations,google / organic,87103,64994,0:00:48,28566,0.326,0.2259,297
2018,/osse.dc.gov/,google / organic,86541,65555,0:01:25,47798,0.4162,0.2746,298
2018,/dmv.dc.gov/service/vehicle-registration-renewals,google / organic,85980,62818,0:04:01,42674,0.198,0.1795,299
2017,/dmv.dc.gov/page/all-DC-DMV-locations,google / organic,99255,74793,0:00:44,35283,0.2681,0.9184,367
2017,/dmv.dc.gov/service/knowledge-test,google / organic,98999,81709,0:00:47,57119,0.4025,0.2929,368
2017,/cson.oag.dc.gov/CaseInfo.aspx,google / organic,98870,52637,0:02:39,5891,0.3913,0.4484,369
